avg_mood_7days,crisis_entries_count,days_of_silence,trigger_intensity_avg,mood_trend,min_mood_7days,trigger_count,total_entries,label
8.579562176579882,1,0,2.689163101852956,0,8,2,7,LOW_RISK
6.446056176134189,1,1,1.549278599333077,1,5,1,7,LOW_RISK
7.819455212441245,1,1,2.726510885627236,1,7,0,7,LOW_RISK
3.56852984492968,6,5,8.484114521404981,-1,2,10,6,HIGH_RISK
2.4555475788529555,4,5,8.783882659525116,-1,1,5,4,HIGH_RISK
7.464564793804458,0,1,0.25315515816262835,0,9,2,5,LOW_RISK
7.496246508656855,0,0,0.1626265384693616,1,9,0,5,LOW_RISK
8.954860961550992,0,1,0.7301650453352623,1,5,0,7,LOW_RISK
1.7812231227735993,4,5,7.5161490286414425,-1,1,7,4,HIGH_RISK
2.089377046250279,5,5,9.612735984469408,-1,1,9,5,HIGH_RISK
4.609117138080966,2,0,4.1908018443995445,0,2,1,5,MEDIUM_RISK
3.782899593415529,7,2,8.78992639759755,-1,1,10,7,HIGH_RISK
3.7803500327185056,7,5,7.710883432820305,-1,1,7,7,HIGH_RISK
5.339526323591098,2,2,4.2114807351551145,0,3,3,6,MEDIUM_RISK
6.4047888230517716,1,1,2.7385418283796548,1,7,2,7,LOW_RISK
3.534071300117361,3,5,6.6211501531060994,-1,2,7,3,HIGH_RISK
3.8,1,1,5.759106718616011,1,4,2,5,MEDIUM_RISK
2.039225312634669,4,4,7.819040526562625,-1,1,5,5,HIGH_RISK
9.053746343345928,1,1,3.7413069309698304,1,9,0,6,LOW_RISK
5.505609532563025,2,2,7.078681228066484,1,3,5,4,MEDIUM_RISK
3.5714630549987616,7,2,7.908788922783687,-1,2,8,7,HIGH_RISK
4.11244134899067,0,1,3.882226989161795,1,4,1,5,MEDIUM_RISK
6.53896006264858,1,0,3.5094168185476344,1,6,1,7,LOW_RISK
10.0,0,0,1.4276988477761052,1,5,1,7,LOW_RISK
9.29696093045585,0,0,2.742735005020766,0,5,2,6,LOW_RISK
6.566544026355868,1,0,0.7861562371408373,1,7,1,6,LOW_RISK
2.5869629628089332,6,5,9.854830911256991,-1,2,6,6,HIGH_RISK
2.0622948101198695,3,5,9.53991499190591,-1,2,10,3,HIGH_RISK
9.53427289984876,1,1,1.9833516404822504,1,8,1,6,LOW_RISK
4.170018081704334,0,2,3.6959976767991356,0,5,5,3,MEDIUM_RISK
5.466510710935322,2,1,6.168264052499681,1,4,2,5,MEDIUM_RISK
2.100311535001375,4,5,7.345024763468082,-1,1,7,4,HIGH_RISK
6.8,1,1,4.433454754412541,0,5,1,3,MEDIUM_RISK
5.571049834394773,0,2,3.4406986572915788,-1,4,1,7,LOW_RISK
8.845346720932794,0,1,3.60204479682928,0,6,1,5,LOW_RISK
2.2905764992843065,6,3,8.505462919631137,0,1,8,6,HIGH_RISK
6.0,0,0,4.007628270820019,1,5,2,6,LOW_RISK
5.782461371919254,2,0,3.5,0,3,1,5,MEDIUM_RISK
2.2874621656780767,4,5,9.191479016127474,-1,1,6,4,HIGH_RISK
3.9374155137689404,6,3,7.483358653681681,-1,1,8,6,HIGH_RISK
4.251411887401424,2,2,7.695604046381577,-1,1,6,3,MEDIUM_RISK
3.6131139058352346,4,5,7.435670202098817,-1,2,10,4,HIGH_RISK
5.399212143925063,1,0,3.5,1,2,5,5,MEDIUM_RISK
3.9017276498211046,1,2,4.539970956706616,0,2,4,6,MEDIUM_RISK
8.568972826189913,1,1,0.4716307519498321,1,5,1,7,LOW_RISK
2.3764168607702723,7,3,7.223453055181562,0,1,9,7,HIGH_RISK
8.481091668982073,1,1,0.9478408243301899,1,8,1,5,LOW_RISK
5.764040208215825,1,0,6.83328074158853,0,5,5,4,MEDIUM_RISK
6.293657037802537,2,0,5.89214153027933,0,2,5,4,MEDIUM_RISK
