diagnosis,severity
"Epilepsy, unspecified, not intractable",MEDIUM
K21.0: Gastro-esophageal reflux with esophagitis (flare-up event),MEDIUM
"Constipation, unspecified - self-limiting condition",LOW
malignant neoplasm of unspecified site of breast,HIGH
acute respiratory problem,HIGH
patient presents with vitamin e deficiency,LOW
Suspected Amyotrophic lateral sclerosis (ALS),HIGH
"peripheral vascular disease, unspecified",MEDIUM
Contusion of ankle,LOW
D65 Disseminated intravascular,HIGH
A09 Infectious gastroenteritis,MEDIUM
Slight discomfort reported due to Functional dyspepsia,LOW
type 1 problem,HIGH
acute leukemia of unspecified cell type,HIGH
C50.919: Malignant neoplasm of unspecified site of breast (fatal prognosis risk),HIGH
Superficial injury of unspecified body region - self-limiting condition,LOW
"Acute myocardial infarction, unspecified",HIGH
"K02.9 - Dental caries, unspecified",LOW
"thyrotoxicosis, unspecified",MEDIUM
"Type 2 diabetes with hyperglycemia - severe presentation, urgent care needed",HIGH
"assessment: viral wart, unspecified",LOW
"Contusion of ankle - mild symptoms, no complications",LOW
Low back pain,LOW
"K59.00: Constipation, unspecified (slight discomfort reported)",LOW
"Critical condition, icu admission due to Liver cell carcinoma",HIGH
"Self-limiting condition due to Allergy, unspecified",LOW
"Impacted cerumen, unspecified ear - slight discomfort reported",LOW
Immediate surgery required due to Type 2 diabetes with hyperglycemia,HIGH
"Abdominal aortic aneurysm, ruptured",HIGH
"Minor condition, follow-up in 2 weeks due to Conjunctivitis, unspecified",LOW
"G43.909: Migraine, unspecified, not intractable (chronic condition, ongoing treatment)",MEDIUM
Type 1 diabetes with ketoacidosis - fatal prognosis risk,HIGH
"Epilepsy, unspecified, not intractable",MEDIUM
"constipation, unspecified",LOW
"Flare-up event due to Migraine, unspecified, not intractable",MEDIUM
"Cerebral infarction, unspecified (stroke) - life-threatening, immediate intervention",HIGH
"C22.0: Liver cell carcinoma (severe presentation, urgent care needed)",HIGH
"E05.90: Thyrotoxicosis, unspecified (flare-up event)",MEDIUM
"J43.9: Emphysema, unspecified (severe trauma protocol active)",HIGH
confirmed case of gastro-esophageal reflux with esophagitis,MEDIUM
"L30.9: Dermatitis, unspecified (mild symptoms, no complications)",LOW
Suspected Malignant neoplasm of unspecified part of bronchus or lung,HIGH
"G30.9 Alzheimer disease,",HIGH
Nervousness,LOW
"I46.9 - Cardiac arrest, cause unspecified",HIGH
"Routine exam due to Allergic rhinitis, unspecified",LOW
"T78.40: Allergy, unspecified (mild symptoms, no complications)",LOW
"Self-limiting condition due to Urinary tract infection, site not specified",LOW
"D69.6: Thrombocytopenia, unspecified (follow-up required in 1 week)",MEDIUM
"Severe presentation, urgent care needed due to Type 2 diabetes with hyperglycemia",HIGH
"M77.10: Lateral epicondylitis (mild symptoms, no complications)",LOW
"Critical condition, icu admission due to Traumatic shock",HIGH
"Severe presentation, urgent care needed due to Malignant neoplasm of prostate",HIGH
"Minor pain, prescribed rest due to Acne vulgaris",LOW
"Assessment: Sepsis, unspecified organism",HIGH
"Self-limiting condition due to Dermatitis, unspecified",LOW
E11.65 Type 2,HIGH
"J20.9: Acute bronchitis, unspecified (needs specialist referral)",MEDIUM
"Hydrocephalus, unspecified - life-threatening, immediate intervention",HIGH
Unspecified abdominal pain - self-limiting condition,LOW
"J02.9: Acute pharyngitis, unspecified (patient stable, outpatient treatment)",LOW
human immunodeficiency problem,HIGH
history of type 2 diabetes mellitus without complications,MEDIUM
"J02.9: Acute pharyngitis, unspecified (self-limiting condition)",LOW
"L20.9 - Atopic dermatitis, unspecified",MEDIUM
"L20.9: Atopic dermatitis, unspecified (chronic condition, ongoing treatment)",MEDIUM
"heart failure, unspecified",HIGH
E56.0 Vitamin E,LOW
Multiple sclerosis,HIGH
"H66.90 - Otitis media, unspecified",LOW
"Advanced stage, palliative care discussed due to Malignant neoplasm of prostate",HIGH
M79.1: Myalgia (no acute distress),LOW
Psoriasis vulgaris - flare-up event,MEDIUM
K05.10 - Chronic gingivitis,LOW
age-related osteoporosis without fracture,MEDIUM
amyotrophic lateral problem,HIGH
L70.0 - Acne vulgaris,LOW
"hypothyroidism, unspecified",MEDIUM
end stage problem,HIGH
I48.0 - Paroxysmal atrial fibrillation,MEDIUM
Malignant neoplasm of unspecified part of bronchus or lung - severe trauma protocol active,HIGH
C22.0: Liver cell carcinoma (fatal prognosis risk),HIGH
G35 - Multiple sclerosis,HIGH
"G43.909: Migraine, unspecified, not intractable (uncomfortable episode, managing with meds)",MEDIUM
history of superficial injury of unspecified body region,LOW
acute nasopharyngitis (common cold),LOW
"Malignant melanoma of skin, unspecified - life-threatening, immediate intervention",HIGH
"Mild symptoms, no complications due to Contusion of ankle",LOW
"M77.10: Lateral epicondylitis (minor pain, prescribed rest)",LOW
"C71.9 - Malignant neoplasm of brain, unspecified",HIGH
"J30.9: Allergic rhinitis, unspecified (minor condition, follow-up in 2 weeks)",LOW
Assessment: Age-related osteoporosis without fracture,MEDIUM
K05.10 - Chronic gingivitis,LOW
A09 Infectious gastroenteritis,MEDIUM
acute upper problem,LOW
Multiple sclerosis,HIGH
"Patient presents with Mild intermittent asthma, uncomplicated",MEDIUM
Recurring symptoms due to Infectious gastroenteritis and colitis,MEDIUM
"history of acute respiratory failure, unspecified",HIGH
Myalgia,LOW
M54.5: Low back pain (self-limiting condition),LOW
L70.0: Acne vulgaris (no acute distress),LOW
