diagnosis,recommended_drugs
Agoraphobia - first psychotic episode,"Paroxetine, Sertraline, Fluoxetine"
suspected anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
Adjustment disorder with depressed mood - patient stable,"Escitalopram, Sertraline, Bupropion"
"schizoaffective disorder, high anxiety levels","Paliperidone, Clozapine, Haloperidol"
High risk of Post-traumatic stress disorder (PTSD),"Sertraline, Paroxetine, Prazosin"
Borderline personality disorder,"Lamotrigine, Aripiprazole, Fluoxetine"
mild attention-deficit hyperactivity disorder (adhd),"Methylphenidate, Amphetamine, Atomoxetine"
"binge-eating disorder, needs dosage adjustment","Lisdexamfetamine, Topiramate, Fluoxetine"
Acute exacerbation of Opioid dependence,"Buprenorphine, Naltrexone, Methadone"
chronic bipolar ii disorder,"Lamotrigine, Lithium, Quetiapine"
"nervousness or severe stress, poor sleep quality","Hydroxyzine, Buspirone, Propranolol"
"schizophrenia, unspecified, high anxiety levels","Risperidone, Olanzapine, Aripiprazole"
bipolar i,"Lurasidone, Quetiapine, Lamotrigine"
"bipolar ii disorder, agitated behavior","Lamotrigine, Lithium, Quetiapine"
mild primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
History of Agoraphobia,"Paroxetine, Sertraline, Fluoxetine"
Binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
"major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
severe alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
history of primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
"history of bipolar i disorder, depressed episode","Lurasidone, Quetiapine, Lamotrigine"
dsm-5 diagnosis: borderline personality disorder,"Lamotrigine, Aripiprazole, Fluoxetine"
"body dysmorphic disorder, experiencing hallucinations","Sertraline, Fluoxetine, Escitalopram"
"restless legs syndrome, experiencing hallucinations","Pramipexole, Ropinirole, Gabapentin"
Confirmed Hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
"agoraphobia, resistant to therapy","Paroxetine, Sertraline, Fluoxetine"
Post-traumatic stress disorder (PTSD) - outpatient follow-up,"Sertraline, Paroxetine, Prazosin"
